Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,3.340000,3.440000,3.280000,3.360000,3.360000,122800
2022-04-14,3.360000,3.460000,3.260000,3.370000,3.370000,126100
2022-04-18,3.330000,3.470000,3.150000,3.150000,3.150000,151700
2022-04-19,3.110000,3.220000,3.010000,3.130000,3.130000,96900
2022-04-20,3.190000,3.390000,3.130000,3.240000,3.240000,104700
2022-04-21,3.250000,3.290000,3.030000,3.050000,3.050000,78200
2022-04-22,3.050000,3.200000,2.960000,3.050000,3.050000,135500
2022-04-25,3.000000,3.160000,2.920000,3.160000,3.160000,68500
2022-04-26,3.070000,3.240000,2.914000,2.970000,2.970000,108700
2022-04-27,3.000000,3.590000,2.970000,3.070000,3.070000,2097200
2022-04-28,3.050000,3.100000,2.700000,2.850000,2.850000,189600
2022-04-29,2.930000,2.940000,2.740000,2.790000,2.790000,48900
2022-05-02,2.750000,2.750000,2.500000,2.560000,2.560000,147300
2022-05-03,2.600000,2.740000,2.600000,2.600000,2.600000,126600
2022-05-04,2.600000,2.820000,2.580000,2.710000,2.710000,71600
2022-05-05,2.710000,2.790000,2.531000,2.590000,2.590000,50600
2022-05-06,2.590000,2.740000,2.520000,2.560000,2.560000,132900
2022-05-09,2.550000,2.690000,2.470000,2.510000,2.510000,115500
2022-05-10,2.530000,2.680000,2.260000,2.290000,2.290000,102000
2022-05-11,2.410000,2.410000,2.026000,2.210000,2.210000,65600
2022-05-12,2.110000,2.300000,2.020000,2.220000,2.220000,63600
2022-05-13,2.220000,2.340000,2.200000,2.220000,2.220000,88100
2022-05-16,2.340000,2.400000,2.151000,2.310000,2.310000,252700
2022-05-17,2.400000,2.400000,2.200000,2.335000,2.335000,39800
2022-05-18,2.270000,2.390000,2.200000,2.270000,2.270000,40800
2022-05-19,2.300000,2.480000,2.260000,2.360000,2.360000,107500
2022-05-20,2.370000,2.420000,2.130000,2.160000,2.160000,120800
2022-05-23,2.200000,2.235000,2.120000,2.170000,2.170000,23800
2022-05-24,2.190000,2.239000,2.000000,2.080000,2.080000,85200
2022-05-25,2.040000,2.250000,2.040000,2.230000,2.230000,20600
2022-05-26,2.180000,2.350000,2.180000,2.270000,2.270000,37400
2022-05-27,2.320000,2.500000,2.245000,2.330000,2.330000,32900
2022-05-31,2.500000,2.580000,2.375000,2.540000,2.540000,79300
2022-06-01,2.540000,2.730000,2.300000,2.370000,2.370000,83900
2022-06-02,2.440000,2.510000,2.331000,2.460000,2.460000,14000
2022-06-03,2.550000,2.550000,2.350000,2.470000,2.470000,26200
2022-06-06,2.470000,2.690000,2.400000,2.510000,2.510000,24200
2022-06-07,2.450000,2.570000,2.350000,2.460000,2.460000,38000
2022-06-08,2.420000,2.600000,2.420000,2.490000,2.490000,36800
2022-06-09,2.490000,2.860000,2.490000,2.580000,2.580000,200500
2022-06-10,2.660000,2.790000,2.513000,2.780000,2.780000,106000
2022-06-13,2.940000,3.000000,2.690000,2.870000,2.870000,298300
2022-06-14,2.820000,3.100000,2.550000,2.620000,2.620000,202200
2022-06-15,2.260000,2.560000,2.250000,2.480000,2.480000,122400
2022-06-16,2.360000,2.510000,2.120000,2.230000,2.230000,92100
2022-06-17,2.170000,2.360000,2.050000,2.290000,2.290000,115900
2022-06-21,2.330000,2.400000,2.170000,2.390000,2.390000,154100
2022-06-22,2.290000,2.640000,2.290000,2.640000,2.640000,154700
2022-06-23,2.690000,2.700000,2.350000,2.460000,2.460000,48600
2022-06-24,2.550000,2.590000,2.360000,2.460000,2.460000,44700
2022-06-27,2.385000,2.390000,2.280000,2.300000,2.300000,22800
2022-06-28,2.410000,2.410000,2.180000,2.200000,2.200000,47100
2022-06-29,2.248000,2.270000,2.130000,2.150000,2.150000,22700
2022-06-30,2.200000,2.210000,2.090000,2.110000,2.110000,26300
2022-07-01,2.070000,2.230000,2.070000,2.100000,2.100000,36500
2022-07-05,2.050000,2.216000,1.900000,2.070000,2.070000,175800
2022-07-06,2.100000,2.160000,2.000000,2.000000,2.000000,50200
2022-07-07,2.050000,2.080000,1.900000,1.900000,1.900000,157700
2022-07-08,1.880000,1.960000,1.770000,1.870000,1.870000,190300
